Method_Name,labels
dispatchEvent,1
replacingNode,1
changes,1
setTextContent,1
getOwnerDocument,1
getImplementation,1
getStandalone,1
getIdentifiers,1
clearIdentifiers,1
replacedText,1
modifyingCharacterData,1
getXmlStandalone,1
setAsync,1
getNodeListCache,1
modifiedAttrValue,1
getFeature,1
isKidOK,1
getNodeNumber,1
isXMLVersionChanged,1
setUserData,1
replaceRenameElement,0
removeUserDataTable,1
getIdentifier,1
checkQName,1
saveXML,1
getInputEncoding,1
getAsync,1
isNormalizeDocRequired,1
adoptNode,0
getNodeType,1
deletedText,1
cloneNode,1
putIdentifier,1
createComment,1
renamedElement,1
insertedText,1
copyEventListeners,1
removeIdentifier,1
replacedNode,1
getUserDataRecord,1
addEventListener,1
setDocumentURI,1
getVersion,1
setStrictErrorChecking,1
getTextContent,1
removedNode,1
abort,1
renamedAttrNode,1
getErrorChecking,1
callUserDataHandlers,1
modifiedCharacterData,1
getXmlVersion,1
load,1
getNodeName,1
setErrorChecking,1
normalizeDocument,1
setAttrNode,1
getStrictErrorChecking,1
insertingNode,1
setXmlEncoding,1
getDoctype,1
getEncoding,1
replaceChild,4
freeNodeListCache,1
setXmlVersion,1
getDocumentURI,1
replacingData,1
createElement,2
changed,1
createEntity,2
getElementsByTagNameNS,1
removingNode,1
isValidQName,1
setStandalone,1
isXMLName,1
readObject,1
writeObject,1
getXmlEncoding,1
getMutationEvents,1
createDocumentFragment,1
createEntityReference,2
checkNamespaceWF,1
createProcessingInstruction,2
getUserData,1
getDomConfig,1
insertedNode,1
setVersion,1
createElementDefinition,2
setMutationEvents,1
createTextNode,1
setEncoding,1
removeChild,4
removedAttrNode,1
createAttributeNS,1
createCDATASection,1
clone,1
setXmlStandalone,1
canRenameElements,1
createAttribute,2
isXML11Version,1
checkDOMNSErr,1
setInputEncoding,1
replacedCharacterData,1
getDocumentElement,1
createNotation,2
createElementNS,1
undeferChildren,1
getElementById,1
setUserDataTable,1
loadXML,1
insertBefore,4
renameNode,0
importNode,3
getBaseURI,1
createDocumentType,1
getElementsByTagName,1
removeEventListener,1
