Method_Name,labels
changes,10
setTextContent,2
createDocumentType,2
createAttributeNS,2
removedAttrNode,2
setInputEncoding,2
abort,2
isXMLName,7
isKidOK,2
clearIdentifiers,2
checkQName,0
createEntity,3
getInputEncoding,2
copyEventListeners,2
getStrictErrorChecking,0
getDoctype,2
getEncoding,2
getDomConfig,2
adoptNode,8
removeChild,5
saveXML,0
setXmlEncoding,2
createTextNode,2
getTextContent,2
insertedNode,2
getImplementation,2
createAttribute,3
replaceRenameElement,2
putIdentifier,2
createElementNS,2
createComment,2
modifiedAttrValue,2
canRenameElements,2
createElementDefinition,3
getDocumentElement,2
normalizeDocument,6
setXmlVersion,7
setXmlStandalone,2
getBaseURI,2
modifyingCharacterData,2
removingNode,2
insertingNode,2
getAsync,2
createEntityReference,3
isValidQName,7
setEncoding,2
replacingData,2
setUserDataTable,2
setVersion,2
writeObject,2
dispatchEvent,2
load,2
getStandalone,2
removeEventListener,2
createCDATASection,2
getIdentifiers,2
modifiedCharacterData,2
removeUserDataTable,2
getNodeNumber,2
createDocumentFragment,2
getXmlStandalone,2
getFeature,2
removedNode,2
createElement,3
checkDOMNSErr,0
cloneNode,9
setStandalone,2
getElementsByTagNameNS,2
replacedNode,2
getErrorChecking,0
checkNamespaceWF,0
readObject,2
setAttrNode,2
importNode,1
callUserDataHandlers,2
getXmlEncoding,2
createNotation,3
getXmlVersion,2
replacedText,2
getNodeListCache,2
renamedAttrNode,2
setUserData,2
replaceChild,5
addEventListener,2
getMutationEvents,2
setDocumentURI,2
getNodeName,2
getVersion,2
loadXML,2
undeferChildren,2
createProcessingInstruction,3
setErrorChecking,0
renamedElement,2
setAsync,2
getElementsByTagName,2
isNormalizeDocRequired,2
getUserDataRecord,2
insertedText,2
insertBefore,5
setStrictErrorChecking,0
deletedText,2
getOwnerDocument,2
getUserData,2
removeIdentifier,2
replacedCharacterData,2
isXMLVersionChanged,2
getElementById,2
freeNodeListCache,2
replacingNode,2
getNodeType,2
isXML11Version,7
renameNode,4
changed,10
setMutationEvents,2
getIdentifier,2
getDocumentURI,2
clone,2
