Method_Name,labels
ensureEntityDeclCapacity,4
endGroup,0
generateSequence,0
getElementDeclName,1
createAttributeDecl,2
createEntityDecl,1
unparsedEntityDecl,0
getGrammarDescription,0
getContentSpecIndex,1
isCDATAAttribute,0
setEntityDecl,4
ensureAttributeDeclCapacity,2
attributeDecl,3
ensureElementDeclCapacity,1
endContentModel,0
getElementContentModelValidator,1
setElementDecl,1
endAttlist,0
ensureContentSpecCapacity,1
startConditional,0
getNotationDecl,1
getElementDeclIndex,0
setContentSpec,1
endExternalSubset,0
setDTDContentModelSource,0
externalEntityDecl,0
getSymbolTable,0
elementDecl,3
rehash,0
startGroup,0
comment,0
put,0
any,0
setDTDSource,0
initializeContentModelStack,0
getNotationDeclIndex,0
getEntityDeclIndex,0
ensureNotationDeclCapacity,1
startExternalSubset,0
getElementDecl,1
empty,0
endConditional,0
startContentModel,0
isEntityUnparsed,1
createElementDecl,1
textDecl,0
rebalance,0
rehashCommon,0
isImmutable,0
getAttributeDecl,2
getContentSpecAsString,1
get,0
addUniqueLeafNode,0
separator,0
printAttribute,0
createNotationDecl,1
internalEntityDecl,0
setNotationDecl,1
ignoredCharacters,0
startAttlist,0
hash0,0
resize,0
getElementDeclIsExternal,1
printElements,0
getAttributeDeclIndex,0
endParameterEntity,0
processingInstruction,0
getDTDSource,0
createChildModel,0
getDTDContentModelSource,0
pcdata,0
contentSpecTree,0
endDTD,1
getFirstElementDeclIndex,0
getContentSpec,1
addContentSpecNode,0
startParameterEntity,0
getNextAttributeDeclIndex,1
createContentSpec,1
buildSyntaxTree,0
setContentSpecIndex,1
putElementNameMapping,0
notationDecl,0
element,0
setAttributeDecl,2
startDTD,0
appendContentSpec,0
isNamespaceAware,0
addContentSpecToElement,0
hash,0
getEntityDecl,4
getNextElementDeclIndex,0
isEntityDeclared,0
printAttributes,0
getContentSpecType,1
getAttributeDeclIsExternal,1
setFirstAttributeDeclIndex,1
occurrence,0
getFirstAttributeDeclIndex,1
