Method_Name,labels
getGlobalAttributeDecl,2
setImportedGrammars,2
setValues,2
getGrammarDescription,2
addGlobalNotationDecl,2
addRedefinedGroupDecl,0
getSAXParser,2
getSubstitutionGroups,2
setContainsTypeID,2
getNotationDeclaration,2
getGlobalNotationDecl,2
hasIDConstraints,2
createUnboundedAnyWildcardSequenceParticle,2
getDocumentLocations,2
getRedefinedGroupDecls,0
createChoiceElementParticle,2
toXSModel,2
addGlobalTypeDecl,2
createAnyLaxWildcardParticle,2
getGlobalElementDecl,2
reset,2
addGlobalAttributeDecl,2
createUnboundedModelGroupParticle,2
addGlobalGroupDecl,2
getAttributeDeclaration,2
getUncheckedCTLocators,0
getAttributeGroup,2
addComplexTypeDecl,0
getS4SGrammar,2
getGlobalGroupDecl,2
createAnnotationElementDecl,2
isNamespaceAware,2
getGlobalAttributeGroupDecl,2
setIsAnonymous,2
resize,2
getNamespaceItem,2
addGlobalSimpleTypeDecl,2
createParticle,2
setName,2
getGlobalTypeDecl,2
getUncheckedComplexTypeDecls,0
getAnnotations,2
createAttrGrp,2
getIDConstraintDecl,2
setIsAbstractType,2
getComponents,1
removeDocument,2
getComponentsExt,1
addGlobalElementDeclAll,2
getModelGroupDefinition,2
addDocument,2
getElementDeclaration,2
getAnnotation,2
setImmutable,2
getRGLocators,0
isImmutable,2
getTargetNamespace,2
getImportedGrammars,2
getSchemaNamespace,2
resetComponents,2
addAnnotation,2
getIDCDefinition,2
getTypeDefinition,2
addGlobalAttributeGroupDecl,2
addIDConstraintDecl,2
getDOMParser,2
addGlobalComplexTypeDecl,2
setUncheckedTypeNum,0
addGlobalElementDecl,2
