Method_Name,labels
getGlobalAttributeDecl,0
setImportedGrammars,0
setValues,0
getGrammarDescription,0
addGlobalNotationDecl,0
addRedefinedGroupDecl,0
getSAXParser,0
getSubstitutionGroups,2
setContainsTypeID,0
getNotationDeclaration,0
getGlobalNotationDecl,0
hasIDConstraints,0
createUnboundedAnyWildcardSequenceParticle,0
getDocumentLocations,0
getRedefinedGroupDecls,0
createChoiceElementParticle,0
toXSModel,0
addGlobalTypeDecl,0
createAnyLaxWildcardParticle,0
getGlobalElementDecl,0
reset,0
addGlobalAttributeDecl,0
createUnboundedModelGroupParticle,0
addGlobalGroupDecl,0
getAttributeDeclaration,0
getUncheckedCTLocators,0
getAttributeGroup,0
addComplexTypeDecl,0
getS4SGrammar,0
getGlobalGroupDecl,0
createAnnotationElementDecl,0
isNamespaceAware,0
getGlobalAttributeGroupDecl,0
setIsAnonymous,0
resize,0
getNamespaceItem,0
addGlobalSimpleTypeDecl,0
createParticle,0
setName,0
getGlobalTypeDecl,0
getUncheckedComplexTypeDecls,0
getAnnotations,0
createAttrGrp,0
getIDConstraintDecl,0
setIsAbstractType,0
getComponents,1
removeDocument,0
getComponentsExt,0
addGlobalElementDeclAll,2
getModelGroupDefinition,0
addDocument,0
getElementDeclaration,0
getAnnotation,0
setImmutable,0
getRGLocators,0
isImmutable,0
getTargetNamespace,0
getImportedGrammars,0
getSchemaNamespace,0
resetComponents,0
addAnnotation,0
getIDCDefinition,0
getTypeDefinition,0
addGlobalAttributeGroupDecl,0
addIDConstraintDecl,0
getDOMParser,0
addGlobalComplexTypeDecl,0
setUncheckedTypeNum,0
addGlobalElementDecl,0
