,getDTDSource,scopeOfBaseURI,modifyAugmentations,setFeature,getRecognizedFeatures,isValidInHTTPHeader,ignorableWhitespace,setProperty,scopeOfLanguage,checkWhitespace,startDocument,startElement,getDocumentSource,endAttlist,getIncludeParentLanguage,isTopLevelIncludedItem,getState,setRootElementProcessed,getIncludeParentDepth,elementDecl,startAttlist,isRootDocument,escapeHref,searchForRecursiveIncludes,startParameterEntity,isFallbackElement,externalEntityDecl,getSawFallback,handleIncludeElement,processAttributes,endGeneralEntity,getRootElementProcessed,setDocumentHandler,sameBaseURIAsIncludeParent,startCDATA,copyFeatures,processXMLBaseAttributes,sameLanguageAsIncludeParent,internalEntityDecl,setState,ignoredCharacters,xmlDecl,handleFallbackElement,checkNotation,characters,getFeatureDefault,setDTDHandler,attributeDecl,processingInstruction,endCDATA,startDTD,isTopLevelIncludedItemViaFallback,notationDecl,setupCurrentBaseURI,getRecognizedProperties,comment,getDocumentHandler,endExternalSubset,startExternalSubset,unparsedEntityDecl,getDTDHandler,startConditional,setSawFallback,reportResourceError,setDocumentSource,processXMLLangAttributes,createInputSource,addNotation,saveBaseURI,setHref,setErrorReporter,reportFatalError,endElement,doctypeDecl,endDocument,textDecl,setSawInclude,checkAndSendUnparsedEntity,isIncludeElement,restoreBaseURI,checkUnparsedEntity,getResultDepth,checkMultipleRootElements,getPropertyDefault,checkAndSendNotation,copyFeatures1,endParameterEntity,startGeneralEntity,setXIncludeLocator,endDTD,saveLanguage,getBaseURI,getRelativeURI,hasXIncludeNamespace,getRelativeBaseURI,getSawInclude,restoreLanguage,isEqual,reportError,isTopLevelIncludedItemViaInclude,reset,endConditional,addUnparsedEntity,emptyElement,setParent,setDTDSource,getLanguage,getIncludeParentBaseURI,XINCLUDE_PARSE_TEXT,fLiteralSystemID,XINCLUDE_ATTR_ACCEPT,XINCLUDE_ATTR_ACCEPT_LANGUAGE,fCurrentBaseURI,expandedSystemId,notation,fDocumentHandler,XPOINTER,fDTDHandler,gHexChs,fInDTD,ALLOW_UE_AND_NOTATION_EVENTS,PARSER_SETTINGS,INITIAL_SIZE,ENTITY_RESOLVER,fHrefFromParent,fBaseURI,fFixupBaseURIs,fDepth,XINCLUDE_INCLUDED,augmentations,fFixupLanguage,XINCLUDE_FIXUP_LANGUAGE,fBufferSize,fNotations,XINCLUDE_PARSE_XML,XINCLUDE_INCLUDE,NEW_NS_ATTR_QNAME,fSeenRootElement,fChildConfig,fSendUEAndNotationEvents,name,fXPointerChildConfig,fXPtrProcessor,XINCLUDE_ATTR_HREF,fXInclude11TextReader,XML_LANG_QNAME,RECOGNIZED_PROPERTIES,systemId,fDocumentSource,fBaseURIScope,XINCLUDE_FALLBACK,fDocLocation,XINCLUDE_LANG,fSymbolTable,STATE_EXPECT_FALLBACK,baseURI,SCHEMA_VALIDATION,fSecurityManager,fResultDepth,fXInclude10TextReader,FEATURE_DEFAULTS,XINCLUDE_ATTR_ENCODING,DYNAMIC_VALIDATION,XINCLUDE_FIXUP_BASE_URIS,BUFFER_SIZE,fHasIncludeReportedContent,fLanguageScope,publicId,PROPERTY_DEFAULTS,fXIncludeMessageFormatter,fSawFallback,ERROR_REPORTER,fXIncludeChildConfig,fExpandedSystemID,XINCLUDE_ATTR_PARSE,HTTP_ACCEPT,XINCLUDE_DEFAULT_CONFIGURATION,fDTDSource,fState,fNamespaceContext,gAfterEscaping1,XINCLUDE_NS_URI,RECOGNIZED_FEATURES,HTTP_ACCEPT_LANGUAGE,fCurrentLanguage,SECURITY_MANAGER,fParentRelativeURI,STATE_IGNORE,fParentXIncludeHandler,fUnparsedEntities,fEntityResolver,VALIDATION,XML_BASE_QNAME,JAXP_SCHEMA_LANGUAGE,fErrorReporter,fLanguageStack,fIsXML11,fSettings,fNeedCopyFeatures,SYMBOL_TABLE,gAfterEscaping2,gNeedEscaping,STATE_NORMAL_PROCESSING,XINCLUDE_BASE,fSawInclude,CURRENT_BASE_URI,fXIncludeLocator
getDTDSource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scopeOfBaseURI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
modifyAugmentations,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
setFeature,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
getRecognizedFeatures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isValidInHTTPHeader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ignorableWhitespace,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
setProperty,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
scopeOfLanguage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
checkWhitespace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
