,SECURITY_MANAGER,STATE_IGNORE,fSettings,expandedSystemId,fDTDHandler,fDocumentHandler,publicId,fSawInclude,fXInclude11TextReader,STATE_EXPECT_FALLBACK,fCurrentLanguage,baseURI,XPOINTER,fIsXML11,fDocLocation,fNamespaceContext,systemId,XINCLUDE_ATTR_ACCEPT,fXIncludeChildConfig,fInDTD,fParentXIncludeHandler,gHexChs,fNeedCopyFeatures,fXIncludeLocator,fResultDepth,fSymbolTable,fSendUEAndNotationEvents,fHrefFromParent,XML_LANG_QNAME,fXPtrProcessor,XINCLUDE_INCLUDED,notation,name,ERROR_REPORTER,RECOGNIZED_PROPERTIES,XINCLUDE_ATTR_HREF,ENTITY_RESOLVER,XINCLUDE_PARSE_TEXT,gNeedEscaping,SCHEMA_VALIDATION,fDocumentSource,SYMBOL_TABLE,fXPointerChildConfig,fSeenRootElement,XINCLUDE_NS_URI,DYNAMIC_VALIDATION,BUFFER_SIZE,gAfterEscaping2,fCurrentBaseURI,JAXP_SCHEMA_LANGUAGE,XINCLUDE_ATTR_ENCODING,fEntityResolver,ALLOW_UE_AND_NOTATION_EVENTS,XINCLUDE_ATTR_PARSE,fXInclude10TextReader,augmentations,fParentRelativeURI,XINCLUDE_ATTR_ACCEPT_LANGUAGE,XINCLUDE_PARSE_XML,fHasIncludeReportedContent,fDTDSource,FEATURE_DEFAULTS,PARSER_SETTINGS,fBufferSize,XINCLUDE_FIXUP_LANGUAGE,fState,PROPERTY_DEFAULTS,fDepth,STATE_NORMAL_PROCESSING,fErrorReporter,RECOGNIZED_FEATURES,fSecurityManager,XINCLUDE_DEFAULT_CONFIGURATION,XINCLUDE_INCLUDE,fChildConfig,fFixupLanguage,XINCLUDE_FIXUP_BASE_URIS,VALIDATION,CURRENT_BASE_URI,fXIncludeMessageFormatter,gAfterEscaping1,XML_BASE_QNAME,fSawFallback,XINCLUDE_FALLBACK,fFixupBaseURIs,checkUnparsedEntity,isValidInHTTPHeader,getIncludeParentLanguage,createInputSource,getBaseURI,setDocumentHandler,doctypeDecl,endExternalSubset,checkMultipleRootElements,restoreBaseURI,copyFeatures,reportError,startGeneralEntity,setProperty,handleFallbackElement,hasXIncludeNamespace,getLanguage,processingInstruction,startConditional,getRelativeBaseURI,sameLanguageAsIncludeParent,reportResourceError,processXMLLangAttributes,elementDecl,restoreLanguage,isEqual,saveLanguage,isRootDocument,startDocument,setSawInclude,startAttlist,endElement,ignoredCharacters,checkWhitespace,endAttlist,setSawFallback,isFallbackElement,endDocument,checkNotation,externalEntityDecl,startExternalSubset,startElement,modifyAugmentations,setupCurrentBaseURI,getIncludeParentDepth,setXIncludeLocator,endDTD,endConditional,getRelativeURI,ignorableWhitespace,getDocumentHandler,emptyElement,comment,isTopLevelIncludedItemViaFallback,copyFeatures1,isTopLevelIncludedItemViaInclude,setErrorReporter,processXMLBaseAttributes,internalEntityDecl,getSawFallback,checkAndSendNotation,sameBaseURIAsIncludeParent,getState,unparsedEntityDecl,setRootElementProcessed,addUnparsedEntity,scopeOfLanguage,isIncludeElement,getIncludeParentBaseURI,attributeDecl,getRootElementProcessed,reportFatalError,setParent,startDTD,addNotation,searchForRecursiveIncludes,startParameterEntity,setState,setHref,endGeneralEntity,getSawInclude,getPropertyDefault,processAttributes,isTopLevelIncludedItem,notationDecl,characters,checkAndSendUnparsedEntity,saveBaseURI,handleIncludeElement,endParameterEntity,escapeHref,startCDATA,scopeOfBaseURI,getResultDepth,xmlDecl,textDecl,endCDATA,setFeature
checkUnparsedEntity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
getIncludeParentLanguage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isValidInHTTPHeader,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
getDTDSource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
createInputSource,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
getBaseURI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
setDocumentHandler,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doctypeDecl,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
endExternalSubset,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
checkMultipleRootElements,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
