Method_Name,labels
getFeatureDefault,1
processXMLBaseAttributes,1
copyFeatures1,1
setDocumentSource,1
unparsedEntityDecl,3
searchForRecursiveIncludes,1
ignorableWhitespace,4
isFallbackElement,1
setFeature,1
getState,1
attributeDecl,3
setState,1
getSawFallback,1
isDuplicate,1
setProperty,1
endAttlist,3
startConditional,3
getIncludeParentDepth,1
isTopLevelIncludedItemViaFallback,1
saveBaseURI,1
getDocumentSource,1
isTopLevelIncludedItemViaInclude,1
endExternalSubset,3
saveLanguage,1
setSawInclude,1
getLanguage,1
externalEntityDecl,3
scopeOfLanguage,1
elementDecl,3
equals,1
sameBaseURIAsIncludeParent,1
restoreBaseURI,1
comment,4
hasXIncludeNamespace,1
emptyElement,2
setXIncludeLocator,1
setDTDSource,1
setParent,1
startExternalSubset,3
addUnparsedEntity,3
endConditional,3
setupCurrentBaseURI,1
reset,0
processXMLLangAttributes,1
setDTDHandler,3
getRelativeBaseURI,1
textDecl,4
escapeHref,1
checkAndSendUnparsedEntity,1
reportFatalError,1
checkUnparsedEntity,1
getResultDepth,1
getDocumentHandler,1
getRecognizedFeatures,1
startElement,2
getSawInclude,1
getPropertyDefault,1
modifyAugmentations,1
handleFallbackElement,2
copyFeatures,1
internalEntityDecl,3
getRootElementProcessed,1
sameLanguageAsIncludeParent,1
endCDATA,4
ignoredCharacters,3
startAttlist,3
setErrorReporter,1
setDocumentHandler,1
doctypeDecl,1
endParameterEntity,3
addNotation,3
processingInstruction,4
getDTDSource,1
startGeneralEntity,4
characters,4
isEqual,1
isIncludeElement,1
startCDATA,4
isTopLevelIncludedItem,1
handleIncludeElement,0
endDTD,3
startParameterEntity,3
isValidInHTTPHeader,1
getIncludeParentBaseURI,1
checkAndSendNotation,1
notationDecl,3
endGeneralEntity,4
reportError,1
getDTDHandler,3
checkWhitespace,1
setRootElementProcessed,1
reportResourceError,1
startDTD,3
createInputSource,1
restoreLanguage,1
getRelativeURI,1
scopeOfBaseURI,1
startDocument,1
processAttributes,1
getRecognizedProperties,1
xmlDecl,1
setSawFallback,1
endDocument,1
getIncludeParentLanguage,1
checkNotation,1
isRootDocument,1
getBaseURI,1
endElement,2
checkMultipleRootElements,1
setHref,1
