Method_Name,labels
getDTDSource,4
scopeOfBaseURI,4
modifyAugmentations,4
setFeature,4
getRecognizedFeatures,4
isValidInHTTPHeader,4
ignorableWhitespace,4
setProperty,4
scopeOfLanguage,4
checkWhitespace,4
startDocument,1
startElement,2
getDocumentSource,4
endAttlist,0
getIncludeParentLanguage,4
isTopLevelIncludedItem,4
getState,4
setRootElementProcessed,4
getIncludeParentDepth,4
elementDecl,0
startAttlist,0
isRootDocument,4
escapeHref,4
searchForRecursiveIncludes,4
startParameterEntity,0
isFallbackElement,4
externalEntityDecl,0
getSawFallback,4
handleIncludeElement,3
processAttributes,1
endGeneralEntity,4
getRootElementProcessed,4
setDocumentHandler,4
sameBaseURIAsIncludeParent,4
startCDATA,4
copyFeatures,4
processXMLBaseAttributes,4
sameLanguageAsIncludeParent,4
internalEntityDecl,0
setState,4
ignoredCharacters,0
xmlDecl,4
handleFallbackElement,2
checkNotation,4
characters,4
getFeatureDefault,4
setDTDHandler,4
attributeDecl,0
processingInstruction,4
endCDATA,4
startDTD,0
isTopLevelIncludedItemViaFallback,4
notationDecl,0
setupCurrentBaseURI,4
getRecognizedProperties,4
comment,4
getDocumentHandler,4
endExternalSubset,0
startExternalSubset,0
unparsedEntityDecl,0
getDTDHandler,4
startConditional,0
setSawFallback,4
reportResourceError,4
setDocumentSource,4
processXMLLangAttributes,4
createInputSource,4
addNotation,0
saveBaseURI,4
setHref,4
setErrorReporter,4
reportFatalError,4
endElement,2
doctypeDecl,4
endDocument,4
textDecl,4
setSawInclude,4
checkAndSendUnparsedEntity,0
isIncludeElement,4
restoreBaseURI,4
checkUnparsedEntity,4
getResultDepth,4
checkMultipleRootElements,4
getPropertyDefault,4
checkAndSendNotation,4
copyFeatures1,4
endParameterEntity,0
startGeneralEntity,4
setXIncludeLocator,4
endDTD,0
saveLanguage,4
getBaseURI,4
getRelativeURI,4
hasXIncludeNamespace,4
getRelativeBaseURI,4
getSawInclude,4
restoreLanguage,4
isEqual,4
reportError,4
isTopLevelIncludedItemViaInclude,4
reset,3
endConditional,0
addUnparsedEntity,0
emptyElement,2
setParent,4
setDTDSource,4
getLanguage,4
getIncludeParentBaseURI,4
