,expandGrammars,expandRelatedParticleComponents,createAnnotationValidator,createGrammarFrom,needReportTNSError,findXSDocumentForDecl,addNamespaceDependency,addGlobalAttributeDecl,unlockPool,findDependentNamespaces,expandImportList,getGrpOrAttrGrpRedefinedByRestriction,getGrammar,resolveSchema,traverseSchemas,element2Locator,updateImportListFor,isExistingGrammar,createTraversers,updateImportListWith,clear,containedImportedGrammar,addGlobalComponent,getSchemaGrammar,doc2SystemId,findGrammar,addGlobalElementDecl,retrieveInitialGrammarSet,addGlobalNotationDecls,updateImportDependencies,getGlobalNotationDecl,setDeclPool,addGrammarComponents,getGlobalElementDecl,expandRelatedSimpleTypeComponents,addGlobalGroupDecl,addNewImportedGrammars,addGlobalTypeDecls,createXMLParseException0,lockPool,addGlobalComponents,null2EmptyString,getGlobalDeclFromGrammar,resolveSchemaSource,emptyString2Null,expandRelatedAttributeComponents,reportSharingError,addImportList,getIDRegistry_sub,prepareForTraverse,retrieveGrammar,addRelatedType,buildGlobalNameRegistries,reportSchemaError,addGrammars,validateAnnotations,expandRelatedAttributeGroupComponents,renameRedefiningComponents,fillInLocalElemInfo,nonAnnotationContent,addNewGrammarLocations,findQName,getSchemaDocument,addGlobalTypeDecl,addNewGrammarComponents,reset,getSchemaDocument1,canAddComponent,resolveKeyRefs,schemaDocument2SystemId,equals,getGlobalGroupDecl,updateImportList,storeKeyRef,expandRelatedModelGroupDefinitionComponents,getGlobalTypeDecl,prepareForParse,traverseGlobalDecl,parseSchema,addGlobalElementDecls,removeParticle,canAddComponents,getSchemaDocument0,addIDConstraintDecl,addGlobalAttributeGroupDecls,getGlobalAttributeDecl,addGlobalAttributeDecls,hashCode,addGlobalNotationDecl,addRelatedAttribute,addGlobalGroupDecls,reportSchemaWarning,setSchemasVisible,createXNIException0,constructTrees,setDVFactory,expandComponents,existingGrammars,expandRelatedComplexTypeComponents,expandRelatedComponents,traverseLocalElements,cacheGrammars,getGlobalAttributeGroupDecl,refreshGrammars,addRelatedElement,getIDConstraintDecl,changeRedefineGroup,getGlobalDecl,expandRelatedElementComponents,expandRelatedModelGroupComponents,checkForDuplicateNames,expandRelatedAttributeUseComponents,expandRelatedAttributeUsesComponents,addGlobalAttributeGroupDecl,getIDRegistry,setGenerateSyntheticAnnotations,expandRelatedTypeComponents,DEBUG_NODE_POOL,EMPTY_TABLE,fUnparsedElementRegistry,fTraversed,fLocalElementDecl_schema,fUnparsedGroupRegistry,fUnparsedNotationRegistry,fValidateAnnotations,XMLSCHEMA_VALIDATION,fAllContext,SYMBOL_TABLE,JAXP_SCHEMA_SOURCE,fUnparsedAttributeGroupRegistry,fAnnotationValidator,COMP_TYPE,xl,fHonourAllSchemaLocations,fKeyrefTraverser,fLocalElementDecl,fUnparsedElementRegistrySub,fParticle,ERROR_REPORTER,fSymbolTable,fReportedTNS,referType,NAMESPACE_PREFIXES,fGlobalAttrDecls,ALLOW_JAVA_ENCODINGS,fXSContentHandler,ATTRIBUTEGROUP_TYPE,fKeyrefElems,fGrammarBucketAdapter,fElementTraverser,fGlobalTypeDecls,fLocationPairs,fKeyrefStackPos,IDENTITYCONSTRAINT_TYPE,fUnparsedRegistriesExt,LOCALE,systemId,REDEF_IDENTIFIER,STRING_INTERNING,fNamespaceGrowth,fImportMap,fXSDocumentInfoRegistry,fDoc2SystemId,fParent,INIT_STACK_SIZE,ATTRIBUTE_TYPE,fSchemaGrammarDescription,fRedefinedRestrictedGroupRegistry,fUnparsedIdentityConstraintRegistry,fGlobalNotationDecls,fEntityResolver,fUnparsedGroupRegistrySub,INC_KEYREF_STACK_AMOUNT,ENTITY_MANAGER,fTolerateDuplicates,fSchemaParser,fKeyrefsMapXSDocumentInfo,fUnparsedAttributeRegistrySub,fSimpleTypeTraverser,fUniqueOrKeyTraverser,XMLGRAMMAR_POOL,INIT_KEYREF_STACK,fInitialGrammarSet,NS_ERROR_CODES,ELE_ERROR_CODES,fDVFactory,fGlobalElemDecls,CIRCULAR_CODES,fRedefine2NSSupport,fGroupTraverser,fWildCardTraverser,TYPEDECL_TYPE,NOTATION_TYPE,GENERATE_SYNTHETIC_ANNOTATIONS,DISALLOW_DOCTYPE,fGrammarPool,INC_STACK_SIZE,VALIDATION,fUnparsedTypeRegistry,fAllTNSs,fDependencyMap,NAMESPACE_GROWTH,fAttributeGroupTraverser,ELEMENT_TYPE,SECURITY_MANAGER,GROUP_TYPE,fLocalElemStackPos,fLastSchemaWasDuplicate,fGlobalGroupDecls,fAttributeChecker,fGlobalAttrGrpDecls,fUnparsedAttributeRegistry,fKeyrefNamespaceContext,fDoc2XSDocumentMap,ENTITY_RESOLVER,referNS,fUnparsedTypeRegistrySub,TOLERATE_DUPLICATES,fGrammarBucket,fLocalElemNamespaceContext,fGlobalIDConstraintDecls,fErrorReporter,fRoot,fRedefinedRestrictedAttributeGroupRegistry,STANDARD_URI_CONFORMANT_FEATURE,ERROR_HANDLER,fNotationTraverser,VALIDATE_ANNOTATIONS,fComplexTypeTraverser,fNotationRegistry,fKeyrefs,fUnparsedAttributeGroupRegistrySub,fDeclPool,HONOUR_ALL_SCHEMALOCATIONS,fRedefine2XSDMap,fUnparsedIdentityConstraintRegistrySub,CONTINUE_AFTER_FATAL_ERROR,fStAXSchemaParser,fHiddenNodes,fUnparsedNotationRegistrySub,fAttributeTraverser
expandGrammars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
expandRelatedParticleComponents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
createAnnotationValidator,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
createGrammarFrom,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
needReportTNSError,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
findXSDocumentForDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addNamespaceDependency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addGlobalAttributeDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
unlockPool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
findDependentNamespaces,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
