,STRING_INTERNING,SECURITY_MANAGER,GENERATE_SYNTHETIC_ANNOTATIONS,XMLSCHEMA_VALIDATION,fWildCardTraverser,fUnparsedElementRegistrySub,fKeyrefStackPos,fKeyrefNamespaceContext,fUnparsedGroupRegistry,fUnparsedAttributeRegistry,LOCALE,fDVFactory,fHiddenNodes,fAnnotationValidator,NOTATION_TYPE,fComplexTypeTraverser,fUnparsedGroupRegistrySub,fGrammarPool,fSimpleTypeTraverser,fUnparsedTypeRegistrySub,fLocalElementDecl_schema,fRoot,fKeyrefElems,fLocalElemStackPos,HONOUR_ALL_SCHEMALOCATIONS,fUnparsedNotationRegistrySub,XMLGRAMMAR_POOL,fValidateAnnotations,GROUP_TYPE,fLocalElemNamespaceContext,fSymbolTable,IDENTITYCONSTRAINT_TYPE,fLocationPairs,fUnparsedAttributeGroupRegistrySub,xl,fAttributeGroupTraverser,fDeclPool,ERROR_REPORTER,ENTITY_RESOLVER,fAttributeChecker,fXSContentHandler,fUnparsedAttributeRegistrySub,ELE_ERROR_CODES,fLocalElementDecl,fAllContext,DISALLOW_DOCTYPE,fKeyrefTraverser,SYMBOL_TABLE,fParticle,fUnparsedRegistriesExt,ELEMENT_TYPE,fNotationTraverser,ENTITY_MANAGER,fUnparsedTypeRegistry,fUnparsedIdentityConstraintRegistrySub,TOLERATE_DUPLICATES,ATTRIBUTE_TYPE,DEBUG_NODE_POOL,INC_KEYREF_STACK_AMOUNT,ATTRIBUTEGROUP_TYPE,fNamespaceGrowth,ERROR_HANDLER,fEntityResolver,fUnparsedNotationRegistry,STANDARD_URI_CONFORMANT_FEATURE,INC_STACK_SIZE,fElementTraverser,fGrammarBucketAdapter,fUnparsedAttributeGroupRegistry,fLastSchemaWasDuplicate,referType,fSchemaParser,fTolerateDuplicates,fAttributeTraverser,ALLOW_JAVA_ENCODINGS,fErrorReporter,fReportedTNS,TYPEDECL_TYPE,fUnparsedIdentityConstraintRegistry,fStAXSchemaParser,VALIDATION,fKeyrefsMapXSDocumentInfo,NAMESPACE_PREFIXES,fGrammarBucket,fSchemaGrammarDescription,CONTINUE_AFTER_FATAL_ERROR,EMPTY_TABLE,fUnparsedElementRegistry,CIRCULAR_CODES,NS_ERROR_CODES,VALIDATE_ANNOTATIONS,fUniqueOrKeyTraverser,fGroupTraverser,REDEF_IDENTIFIER,COMP_TYPE,fParent,fKeyrefs,fHonourAllSchemaLocations,NAMESPACE_GROWTH,containedImportedGrammar,addGlobalComponents,getGlobalGroupDecl,getGlobalElementDecl,expandRelatedAttributeUsesComponents,getSchemaDocument,expandRelatedSimpleTypeComponents,getGlobalAttributeDecl,nonAnnotationContent,checkForDuplicateNames,addGlobalElementDecls,traverseSchemas,addGlobalGroupDecl,expandComponents,reportSchemaWarning,getSchemaDocument0,addImportList,renameRedefiningComponents,expandRelatedTypeComponents,findXSDocumentForDecl,constructTrees,updateImportDependencies,getGlobalTypeDecl,doc2SystemId,validateAnnotations,addGlobalAttributeDecls,canAddComponent,findDependentNamespaces,updateImportListFor,addGlobalTypeDecl,expandImportList,expandRelatedAttributeGroupComponents,element2Locator,addNewGrammarLocations,addGlobalElementDecl,addGlobalAttributeGroupDecls,getIDConstraintDecl,removeParticle,null2EmptyString,expandRelatedModelGroupDefinitionComponents,addGlobalGroupDecls,reportSchemaError,getGlobalDeclFromGrammar,addGlobalNotationDecls,getGlobalDecl,addRelatedElement,prepareForParse,existingGrammars,setSchemasVisible,traverseGlobalDecl,getSchemaDocument1,addNewImportedGrammars,addRelatedAttribute,expandRelatedElementComponents,addNewGrammarComponents,addRelatedType,updateImportListWith,getGlobalAttributeGroupDecl,expandRelatedAttributeUseComponents,reportSharingError,findGrammar,addGlobalAttributeGroupDecl,needReportTNSError,createTraversers,traverseLocalElements,canAddComponents,emptyString2Null,updateImportList,prepareForTraverse,addNamespaceDependency,addGlobalAttributeDecl,resolveSchema,expandRelatedComponents,changeRedefineGroup,getGlobalNotationDecl,reset,expandRelatedAttributeComponents,addGlobalTypeDecls,addGrammarComponents,isExistingGrammar,resolveSchemaSource,expandGrammars,getGrammar,findQName,buildGlobalNameRegistries,addGlobalNotationDecl,createAnnotationValidator,expandRelatedModelGroupComponents,getSchemaGrammar,createGrammarFrom,expandRelatedComplexTypeComponents,addGlobalComponent,resolveKeyRefs,addGrammars,expandRelatedParticleComponents
containedImportedGrammar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addGlobalComponents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
getGlobalGroupDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
getGlobalElementDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
expandRelatedAttributeUsesComponents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
getSchemaDocument,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
getGrpOrAttrGrpRedefinedByRestriction,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
expandRelatedSimpleTypeComponents,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
getGlobalAttributeDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addGlobalElementDecls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
