Method_Name,labels
findGrammar,4
canAddComponent,1
canAddComponents,4
expandRelatedComponents,4
setDVFactory,4
getGrpOrAttrGrpRedefinedByRestriction,4
addGlobalComponents,4
addGlobalTypeDecl,4
addGlobalAttributeGroupDecls,1
expandRelatedAttributeComponents,4
addGlobalComponent,1
setDeclPool,4
getGlobalAttributeDecl,4
expandRelatedComplexTypeComponents,4
addGlobalNotationDecls,1
traverseGlobalDecl,4
getSchemaDocument,0
hashCode,4
createXMLParseException0,4
getGlobalDeclFromGrammar,1
doc2SystemId,4
prepareForParse,4
setSchemasVisible,4
expandRelatedTypeComponents,4
addRelatedAttribute,4
getGlobalGroupDecl,4
emptyString2Null,4
addGlobalTypeDecls,1
equals,4
expandRelatedAttributeUsesComponents,4
expandRelatedSimpleTypeComponents,4
addNewImportedGrammars,4
getGlobalElementDecl,4
getSchemaDocument0,4
unlockPool,4
expandRelatedModelGroupComponents,4
reset,0
fillInLocalElemInfo,3
expandRelatedAttributeUseComponents,4
addGlobalGroupDecl,4
reportSchemaError,4
retrieveGrammar,4
checkForDuplicateNames,4
addRelatedType,4
getSchemaGrammar,4
updateImportListFor,4
traverseLocalElements,3
null2EmptyString,4
renameRedefiningComponents,4
addGlobalElementDecls,4
storeKeyRef,3
needReportTNSError,4
schemaDocument2SystemId,4
findDependentNamespaces,4
lockPool,4
setGenerateSyntheticAnnotations,4
addIDConstraintDecl,4
addGlobalAttributeGroupDecl,4
reportSchemaWarning,4
changeRedefineGroup,4
getIDConstraintDecl,4
buildGlobalNameRegistries,2
clear,4
parseSchema,0
createAnnotationValidator,4
removeParticle,4
addGlobalGroupDecls,1
expandGrammars,4
expandRelatedParticleComponents,4
addGlobalAttributeDecl,4
addGlobalAttributeDecls,1
validateAnnotations,4
updateImportListWith,4
prepareForTraverse,3
expandComponents,4
getGlobalDecl,1
addNewGrammarComponents,4
traverseSchemas,4
createTraversers,4
updateImportList,4
nonAnnotationContent,4
getIDRegistry,4
expandRelatedAttributeGroupComponents,4
getSchemaDocument1,4
addGrammarComponents,4
updateImportDependencies,4
reportSharingError,4
findQName,4
constructTrees,0
getGlobalNotationDecl,4
resolveKeyRefs,3
addImportList,4
containedImportedGrammar,4
retrieveInitialGrammarSet,4
getIDRegistry_sub,4
addGrammars,4
expandRelatedModelGroupDefinitionComponents,4
getGlobalTypeDecl,4
resolveSchemaSource,4
createGrammarFrom,4
getGlobalAttributeGroupDecl,4
existingGrammars,4
refreshGrammars,4
addNamespaceDependency,4
addGlobalNotationDecl,4
expandRelatedElementComponents,4
cacheGrammars,4
expandImportList,4
addRelatedElement,4
findXSDocumentForDecl,4
addNewGrammarLocations,4
resolveSchema,4
createXNIException0,4
element2Locator,4
getGrammar,4
addGlobalElementDecl,4
isExistingGrammar,4
