Method_Name,labels
settextcontent,1
createdocumenttype,8
createattributens,8
setinputencoding,6
clearidentifiers,2
createentity,8
getinputencoding,6
getstricterrorchecking,9
getencoding,6
setxmlencoding,6
createtextnode,8
gettextcontent,1
createattribute,8
putidentifier,2
createelementns,8
createcomment,8
createelementdefinition,8
setxmlstandalone,5
getbaseuri,4
createentityreference,8
setencoding,6
setuserdatatable,7
writeobject,3
getstandalone,5
createcdatasection,8
getidentifiers,2
removeuserdatatable,7
createdocumentfragment,8
getxmlstandalone,5
createelement,8
setstandalone,5
geterrorchecking,9
readobject,3
calluserdatahandlers,7
getxmlencoding,6
createnotation,8
getnodelistcache,10
setuserdata,7
setdocumenturi,4
createprocessinginstruction,8
seterrorchecking,9
getuserdatarecord,7
setstricterrorchecking,9
getuserdata,7
removeidentifier,2
freenodelistcache,10
getidentifier,2
getdocumenturi,4
changes,0
removedattrnode,0
abort,0
isxmlname,0
iskidok,0
checkqname,0
copyeventlisteners,0
getdoctype,0
getdomconfig,0
adoptnode,0
removechild,0
savexml,0
insertednode,0
getimplementation,0
replacerenameelement,0
modifiedattrvalue,0
canrenameelements,0
getdocumentelement,0
normalizedocument,0
setxmlversion,0
modifyingcharacterdata,0
removingnode,0
insertingnode,0
getasync,0
isvalidqname,0
replacingdata,0
setversion,0
dispatchevent,0
load,0
removeeventlistener,0
modifiedcharacterdata,0
getnodenumber,0
getfeature,0
removednode,0
checkdomnserr,0
clonenode,0
getelementsbytagnamens,0
replacednode,0
checknamespacewf,0
setattrnode,0
importnode,0
getxmlversion,0
replacedtext,0
renamedattrnode,0
replacechild,0
addeventlistener,0
getmutationevents,0
getnodename,0
getversion,0
loadxml,0
undeferchildren,0
renamedelement,0
setasync,0
getelementsbytagname,0
isnormalizedocrequired,0
insertedtext,0
insertbefore,0
deletedtext,0
getownerdocument,0
replacedcharacterdata,0
isxmlversionchanged,0
getelementbyid,0
replacingnode,0
getnodetype,0
isxml11version,0
renamenode,0
changed,0
setmutationevents,0
clone,0
