Method_Name,labels
clone,4
modifyingCharacterData,4
readObject,3
createElementNS,4
modifiedAttrValue,4
getEncoding,4
renameNode,0
isXMLVersionChanged,4
getMutationEvents,4
getNodeListCache,4
removeEventListener,4
adoptNode,5
setAsync,4
dispatchEvent,4
getAsync,4
removeIdentifier,2
getElementsByTagName,4
createDocumentType,4
createAttributeNS,4
deletedText,4
replacedNode,4
checkDOMNSErr,8
getInputEncoding,4
isXMLName,1
putIdentifier,2
isKidOK,4
cloneNode,2
renamedElement,4
getTextContent,4
insertingNode,4
createComment,4
getXmlEncoding,4
setVersion,4
replacedCharacterData,4
normalizeDocument,1
replacingData,4
importNode,7
createElementDefinition,6
createTextNode,4
setErrorChecking,8
setXmlVersion,1
loadXML,4
abort,4
getUserData,3
insertedText,4
setStandalone,4
isNormalizeDocRequired,4
getUserDataRecord,3
getElementById,4
changes,4
setXmlStandalone,4
getDocumentURI,4
addEventListener,4
changed,4
checkQName,1
createDocumentFragment,4
load,4
createEntity,6
getNodeNumber,3
getXmlVersion,1
setXmlEncoding,4
modifiedCharacterData,4
createProcessingInstruction,6
removeChild,9
setUserData,3
insertBefore,9
getDoctype,4
saveXML,8
callUserDataHandlers,3
getStandalone,4
getOwnerDocument,4
canRenameElements,4
getFeature,1
getNodeType,4
createEntityReference,6
setEncoding,4
checkNamespaceWF,8
undeferChildren,4
getImplementation,4
getVersion,4
clearIdentifiers,2
getDomConfig,4
getXmlStandalone,4
insertedNode,4
getDocumentElement,4
getElementsByTagNameNS,4
createCDATASection,4
replacingNode,4
getErrorChecking,8
removingNode,4
getIdentifiers,2
replacedText,4
setInputEncoding,4
writeObject,3
getStrictErrorChecking,8
freeNodeListCache,4
renamedAttrNode,4
getBaseURI,4
isXML11Version,1
setAttrNode,4
replaceRenameElement,0
removedNode,4
createAttribute,6
copyEventListeners,4
setStrictErrorChecking,8
setDocumentURI,4
getIdentifier,2
createElement,6
isValidQName,1
setMutationEvents,4
createNotation,6
removeUserDataTable,3
removedAttrNode,4
getNodeName,4
replaceChild,9
setUserDataTable,3
setTextContent,4
