Method_Name,labels
clone,2
modifyingCharacterData,2
readObject,2
createElementNS,2
modifiedAttrValue,2
getEncoding,2
renameNode,4
isXMLVersionChanged,2
getMutationEvents,2
getNodeListCache,2
removeEventListener,2
adoptNode,7
setAsync,2
dispatchEvent,2
getAsync,2
removeIdentifier,1
getElementsByTagName,2
createDocumentType,2
createAttributeNS,2
deletedText,2
replacedNode,2
checkDOMNSErr,8
getInputEncoding,2
isXMLName,2
putIdentifier,1
isKidOK,2
cloneNode,1
renamedElement,2
getTextContent,2
insertingNode,2
createComment,2
getXmlEncoding,9
setVersion,2
replacedCharacterData,2
normalizeDocument,2
replacingData,2
importNode,6
createElementDefinition,3
createTextNode,2
setErrorChecking,8
setXmlVersion,2
loadXML,2
abort,2
getUserData,2
insertedText,2
setStandalone,2
isNormalizeDocRequired,2
getUserDataRecord,2
getElementById,2
changes,2
setXmlStandalone,2
getDocumentURI,2
addEventListener,2
changed,2
checkQName,3
createDocumentFragment,2
load,2
createEntity,3
getNodeNumber,2
getXmlVersion,2
setXmlEncoding,9
modifiedCharacterData,2
createProcessingInstruction,3
removeChild,5
setUserData,0
insertBefore,5
getDoctype,2
saveXML,8
callUserDataHandlers,2
getStandalone,2
getOwnerDocument,2
canRenameElements,2
getFeature,2
getNodeType,2
createEntityReference,3
setEncoding,2
checkNamespaceWF,8
undeferChildren,2
getImplementation,2
getVersion,2
clearIdentifiers,1
getDomConfig,2
getXmlStandalone,2
insertedNode,2
getDocumentElement,2
getElementsByTagNameNS,2
createCDATASection,2
replacingNode,2
getErrorChecking,8
removingNode,2
getIdentifiers,1
replacedText,2
setInputEncoding,2
writeObject,2
getStrictErrorChecking,8
freeNodeListCache,2
renamedAttrNode,2
getBaseURI,2
isXML11Version,2
setAttrNode,2
replaceRenameElement,2
removedNode,2
createAttribute,3
copyEventListeners,2
setStrictErrorChecking,8
setDocumentURI,2
getIdentifier,1
createElement,3
isValidQName,2
setMutationEvents,2
createNotation,3
removeUserDataTable,2
removedAttrNode,2
getNodeName,2
replaceChild,5
setUserDataTable,2
setTextContent,2
