Method_Name,labels
readobject,6
createelementns,2
getencoding,4
getnodelistcache,10
removeidentifier,0
createdocumenttype,2
createattributens,2
getinputencoding,4
putidentifier,0
gettextcontent,9
createcomment,2
getxmlencoding,4
createelementdefinition,2
createtextnode,2
seterrorchecking,8
getuserdata,3
setstandalone,7
getuserdatarecord,3
setxmlstandalone,7
getdocumenturi,1
createdocumentfragment,2
createentity,2
setxmlencoding,4
createprocessinginstruction,2
setuserdata,3
calluserdatahandlers,3
getstandalone,7
createentityreference,2
setencoding,4
clearidentifiers,0
getxmlstandalone,7
createcdatasection,2
geterrorchecking,8
getidentifiers,0
setinputencoding,4
writeobject,6
getstricterrorchecking,8
freenodelistcache,10
getbaseuri,1
createattribute,2
setstricterrorchecking,8
setdocumenturi,1
getidentifier,0
createelement,2
createnotation,2
removeuserdatatable,3
setuserdatatable,3
settextcontent,9
clone,5
modifyingcharacterdata,5
modifiedattrvalue,5
renamenode,5
isxmlversionchanged,5
getmutationevents,5
removeeventlistener,5
adoptnode,5
setasync,5
dispatchevent,5
getasync,5
getelementsbytagname,5
deletedtext,5
replacednode,5
checkdomnserr,5
isxmlname,5
iskidok,5
clonenode,5
renamedelement,5
insertingnode,5
setversion,5
replacedcharacterdata,5
normalizedocument,5
replacingdata,5
importnode,5
setxmlversion,5
loadxml,5
abort,5
insertedtext,5
isnormalizedocrequired,5
getelementbyid,5
changes,5
addeventlistener,5
changed,5
checkqname,5
load,5
getnodenumber,5
getxmlversion,5
modifiedcharacterdata,5
removechild,5
insertbefore,5
getdoctype,5
savexml,5
getownerdocument,5
canrenameelements,5
getfeature,5
getnodetype,5
checknamespacewf,5
undeferchildren,5
getimplementation,5
getversion,5
getdomconfig,5
insertednode,5
getdocumentelement,5
getelementsbytagnamens,5
replacingnode,5
removingnode,5
replacedtext,5
renamedattrnode,5
isxml11version,5
setattrnode,5
replacerenameelement,5
removednode,5
copyeventlisteners,5
isvalidqname,5
setmutationevents,5
removedattrnode,5
getnodename,5
replacechild,5
