,fElementDeclLastAttributeDeclIndex,fDTDContentModelSource,fNodeIndexStack,nodeIndex,fElementDeclContentSpecIndex,fEntityCount,fEntityBaseSystemId,fElementDeclCount,fDepth,fEntityName,CHUNK_SIZE,fNotationPublicId,fNotationCount,fEntityIsPE,LIST_MASK,fAttributeDeclDefaultValue,fElementDecl,fGrammarDescription,type,fAttributeDeclCount,fNotationBaseSystemId,fAttributeDeclEnumeration,fEntityPublicId,fContentSpecValue,fNotationName,fContentSpecOtherValue,fContentSpecType,fAttributeDeclType,fAttributeDeclName,fAttributeDeclDefaultType,fAttributeDeclNonNormalizedDefaultValue,fLeafCount,fPrevNodeIndexStack,fElementDeclContentModelValidator,fOpStack,fEntityNotation,fQName2,fCurrentAttributeIndex,fElementDeclIsExternal,fPEntityStack,fDTDSource,fEntitySystemId,fContentSpecCount,fIsImmutable,fSimpleType,fElementDeclName,fMixed,fAttributeDecl,fReadingExternalDTD,fSymbolTable,CHUNK_MASK,fAttributeDeclDatatypeValidator,fEntityInExternal,fNotationSystemId,LIST_FLAG,fEntityValue,fPEDepth,fQName,fElementDeclFirstAttributeDeclIndex,CHUNK_SHIFT,fElementDeclType,fAttributeDeclIsExternal,fAttributeDeclNextAttributeDeclIndex,DEBUG,fContentSpec,fCurrentElementIndex,getElementContentModelValidator,ensureAttributeDeclCapacity,setElementDecl,getAttributeDecl,getElementDecl,addContentSpecNode,addContentSpecToElement,getNextAttributeDeclIndex,setContentSpec,createNotationDecl,getContentSpec,ensureContentSpecCapacity,ensureElementDeclCapacity,ensureEntityDeclCapacity,buildSyntaxTree,getEntityDeclIndex,ensureNotationDeclCapacity,appendContentSpec,setAttributeDecl,getAttributeDeclIndex,getElementDeclIndex,createAttributeDecl,setContentSpecIndex,getFirstAttributeDeclIndex,setNotationDecl,printAttribute,createChildModel,addUniqueLeafNode,resize,createContentSpec,createEntityDecl,initializeContentModelStack,getNotationDeclIndex,contentSpecTree,setEntityDecl,createElementDecl
getElementContentModelValidator,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
getAttributeDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
getElementDeclName,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
setDTDSource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
addContentSpecNode,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
isEntityUnparsed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elementDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
setContentSpec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isEntityDeclared,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
endContentModel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
