Method_Name,labels
getNotationDeclIndex,0
createAttributeDecl,2
setDTDSource,0
getElementContentModelValidator,1
getContentSpecIndex,1
getContentSpecType,1
endDTD,1
setAttributeDecl,2
isEntityUnparsed,1
any,0
getDTDContentModelSource,0
getNextAttributeDeclIndex,1
createContentSpec,1
isEntityDeclared,0
ensureNotationDeclCapacity,1
getAttributeDeclIsExternal,1
getSymbolTable,0
notationDecl,0
printElements,0
elementDecl,4
getElementDeclIndex,0
ensureElementDeclCapacity,1
element,0
setFirstAttributeDeclIndex,1
appendContentSpec,0
startParameterEntity,0
createEntityDecl,1
startContentModel,0
createElementDecl,1
resize,0
initializeContentModelStack,0
endParameterEntity,0
setContentSpecIndex,1
startDTD,0
buildSyntaxTree,0
isNamespaceAware,0
isCDATAAttribute,0
ensureContentSpecCapacity,1
printAttribute,0
ignoredCharacters,0
separator,0
addContentSpecNode,0
getContentSpec,1
getFirstElementDeclIndex,0
contentSpecTree,0
endAttlist,0
externalEntityDecl,0
getContentSpecAsString,1
processingInstruction,0
getElementDecl,1
startConditional,0
getElementDeclName,1
setElementDecl,1
endGroup,0
ensureEntityDeclCapacity,3
textDecl,0
addUniqueLeafNode,0
isImmutable,0
comment,0
setNotationDecl,1
attributeDecl,4
getAttributeDeclIndex,0
unparsedEntityDecl,0
getGrammarDescription,0
endExternalSubset,0
endContentModel,0
addContentSpecToElement,0
getNotationDecl,1
getElementDeclIsExternal,1
getNextElementDeclIndex,0
startGroup,0
createChildModel,0
createNotationDecl,1
getAttributeDecl,2
getFirstAttributeDeclIndex,1
getDTDSource,0
startExternalSubset,0
startAttlist,0
ensureAttributeDeclCapacity,2
setContentSpec,1
endConditional,0
printAttributes,0
putElementNameMapping,0
getEntityDecl,3
internalEntityDecl,0
empty,0
setDTDContentModelSource,0
pcdata,0
occurrence,0
setEntityDecl,3
getEntityDeclIndex,0
