Method_Name,labels
getNotationDeclIndex,1
createAttributeDecl,4
setDTDSource,1
getElementContentModelValidator,4
getContentSpecIndex,4
getContentSpecType,0
endDTD,0
setAttributeDecl,4
isEntityUnparsed,4
any,1
getDTDContentModelSource,1
getNextAttributeDeclIndex,4
createContentSpec,2
isEntityDeclared,1
ensureNotationDeclCapacity,2
getAttributeDeclIsExternal,4
getSymbolTable,1
notationDecl,1
printElements,1
elementDecl,4
getElementDeclIndex,1
ensureElementDeclCapacity,2
element,3
setFirstAttributeDeclIndex,4
appendContentSpec,1
startParameterEntity,1
createEntityDecl,4
startContentModel,1
createElementDecl,0
resize,1
initializeContentModelStack,3
endParameterEntity,1
setContentSpecIndex,4
startDTD,3
buildSyntaxTree,1
isNamespaceAware,1
isCDATAAttribute,1
ensureContentSpecCapacity,2
printAttribute,1
ignoredCharacters,1
separator,3
addContentSpecNode,1
getContentSpec,2
getFirstElementDeclIndex,1
contentSpecTree,1
endAttlist,1
externalEntityDecl,1
getContentSpecAsString,4
processingInstruction,1
getElementDecl,0
startConditional,1
getElementDeclName,0
setElementDecl,0
endGroup,3
ensureEntityDeclCapacity,2
textDecl,1
addUniqueLeafNode,1
isImmutable,1
comment,1
setNotationDecl,4
attributeDecl,4
getAttributeDeclIndex,1
unparsedEntityDecl,1
getGrammarDescription,1
endExternalSubset,1
endContentModel,1
addContentSpecToElement,3
getNotationDecl,4
getElementDeclIsExternal,4
getNextElementDeclIndex,1
startGroup,3
createChildModel,1
createNotationDecl,1
getAttributeDecl,0
getFirstAttributeDeclIndex,4
getDTDSource,1
startExternalSubset,1
startAttlist,1
ensureAttributeDeclCapacity,2
setContentSpec,2
endConditional,1
printAttributes,1
putElementNameMapping,1
getEntityDecl,4
internalEntityDecl,1
empty,1
setDTDContentModelSource,1
pcdata,1
occurrence,3
setEntityDecl,4
getEntityDeclIndex,1
