Method_Name,labels
createattributedecl,1
getelementcontentmodelvalidator,0
getcontentspecindex,0
getcontentspectype,0
getdtdcontentmodelsource,0
createcontentspec,1
appendcontentspec,0
startparameterentity,2
createentitydecl,1
startcontentmodel,0
createelementdecl,1
initializecontentmodelstack,0
endparameterentity,2
setcontentspecindex,0
ensurecontentspeccapacity,0
addcontentspecnode,0
getcontentspec,0
contentspectree,0
getcontentspecasstring,0
endexternalsubset,3
endcontentmodel,0
addcontentspectoelement,0
createchildmodel,1
createnotationdecl,1
startexternalsubset,3
setcontentspec,0
setdtdcontentmodelsource,0
getnotationdeclindex,4
setdtdsource,4
enddtd,4
setattributedecl,4
isentityunparsed,4
any,4
getnextattributedeclindex,4
isentitydeclared,4
ensurenotationdeclcapacity,4
getattributedeclisexternal,4
getsymboltable,4
notationdecl,4
printelements,4
elementdecl,4
getelementdeclindex,4
ensureelementdeclcapacity,4
element,4
setfirstattributedeclindex,4
resize,4
startdtd,4
buildsyntaxtree,4
isnamespaceaware,4
iscdataattribute,4
printattribute,4
ignoredcharacters,4
separator,4
getfirstelementdeclindex,4
endattlist,4
externalentitydecl,4
processinginstruction,4
getelementdecl,4
startconditional,4
getelementdeclname,4
setelementdecl,4
endgroup,4
ensureentitydeclcapacity,4
textdecl,4
adduniqueleafnode,4
isimmutable,4
comment,4
setnotationdecl,4
attributedecl,4
getattributedeclindex,4
unparsedentitydecl,4
getgrammardescription,4
getnotationdecl,4
getelementdeclisexternal,4
getnextelementdeclindex,4
startgroup,4
getattributedecl,4
getfirstattributedeclindex,4
getdtdsource,4
startattlist,4
ensureattributedeclcapacity,4
endconditional,4
printattributes,4
putelementnamemapping,4
getentitydecl,4
internalentitydecl,4
empty,4
pcdata,4
occurrence,4
setentitydecl,4
getentitydeclindex,4
