,notation,fIsXML11,VALIDATION,fHrefFromParent,fNamespaceContext,fCurrentBaseURI,fFixupLanguage,SECURITY_MANAGER,STATE_IGNORE,XINCLUDE_ATTR_ENCODING,DYNAMIC_VALIDATION,fSendUEAndNotationEvents,fSettings,XML_BASE_QNAME,fXInclude10TextReader,XINCLUDE_DEFAULT_CONFIGURATION,fHasIncludeReportedContent,XINCLUDE_ATTR_ACCEPT,XINCLUDE_NS_URI,XINCLUDE_INCLUDED,fXIncludeMessageFormatter,SYMBOL_TABLE,systemId,fSymbolTable,XINCLUDE_INCLUDE,XINCLUDE_FALLBACK,XINCLUDE_FIXUP_LANGUAGE,fSeenRootElement,fChildConfig,fDocumentSource,STATE_EXPECT_FALLBACK,PARSER_SETTINGS,fFixupBaseURIs,gAfterEscaping1,gAfterEscaping2,RECOGNIZED_PROPERTIES,XINCLUDE_ATTR_HREF,fParentRelativeURI,XINCLUDE_FIXUP_BASE_URIS,gNeedEscaping,augmentations,fResultDepth,fErrorReporter,JAXP_SCHEMA_LANGUAGE,fBufferSize,STATE_NORMAL_PROCESSING,fSecurityManager,fInDTD,XINCLUDE_PARSE_TEXT,fCurrentLanguage,fDTDHandler,fEntityResolver,XINCLUDE_PARSE_XML,gHexChs,fState,RECOGNIZED_FEATURES,expandedSystemId,fParentXIncludeHandler,publicId,fXPtrProcessor,XINCLUDE_ATTR_PARSE,fSawFallback,SCHEMA_VALIDATION,fSawInclude,ALLOW_UE_AND_NOTATION_EVENTS,fDocLocation,fDocumentHandler,XPOINTER,CURRENT_BASE_URI,name,ERROR_REPORTER,baseURI,fXIncludeLocator,fDepth,XINCLUDE_ATTR_ACCEPT_LANGUAGE,fXPointerChildConfig,ENTITY_RESOLVER,BUFFER_SIZE,fNeedCopyFeatures,XML_LANG_QNAME,fDTDSource,FEATURE_DEFAULTS,PROPERTY_DEFAULTS,fXInclude11TextReader,fXIncludeChildConfig,saveBaseURI,restoreLanguage,isTopLevelIncludedItem,checkAndSendNotation,elementDecl,isTopLevelIncludedItemViaFallback,copyFeatures,setRootElementProcessed,endElement,getBaseURI,startGeneralEntity,startParameterEntity,modifyAugmentations,checkWhitespace,internalEntityDecl,isRootDocument,characters,reportFatalError,isIncludeElement,sameBaseURIAsIncludeParent,setupCurrentBaseURI,restoreBaseURI,getSawInclude,handleFallbackElement,getDocumentHandler,processXMLBaseAttributes,setState,processAttributes,scopeOfBaseURI,getPropertyDefault,startConditional,setSawFallback,setSawInclude,endDTD,endGeneralEntity,setFeature,sameLanguageAsIncludeParent,scopeOfLanguage,checkMultipleRootElements,isTopLevelIncludedItemViaInclude,getResultDepth,setXIncludeLocator,textDecl,doctypeDecl,unparsedEntityDecl,getIncludeParentBaseURI,externalEntityDecl,startElement,checkUnparsedEntity,startCDATA,searchForRecursiveIncludes,copyFeatures1,isEqual,startAttlist,hasXIncludeNamespace,getSawFallback,endConditional,ignorableWhitespace,setHref,reportResourceError,processXMLLangAttributes,getIncludeParentLanguage,processingInstruction,comment,getLanguage,createInputSource,checkNotation,endCDATA,endParameterEntity,handleIncludeElement,ignoredCharacters,setParent,startExternalSubset,getRelativeBaseURI,setProperty,addUnparsedEntity,attributeDecl,reportError,getIncludeParentDepth,isFallbackElement,getRootElementProcessed,setDocumentHandler,isValidInHTTPHeader,startDTD,endAttlist,addNotation,notationDecl,emptyElement,getRelativeURI,startDocument,checkAndSendUnparsedEntity,setErrorReporter,endExternalSubset,escapeHref,saveLanguage,xmlDecl,getState,endDocument
saveBaseURI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
restoreLanguage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isTopLevelIncludedItem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
checkAndSendNotation,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
setDTDSource,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elementDecl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
isTopLevelIncludedItemViaFallback,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
copyFeatures,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
setRootElementProcessed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
endElement,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
