Method_Name,labels
setDTDSource,0
startDocument,0
sameLanguageAsIncludeParent,0
sameBaseURIAsIncludeParent,0
processXMLLangAttributes,0
getResultDepth,0
endDTD,3
processXMLBaseAttributes,0
getState,0
reportError,0
isEqual,0
setDTDHandler,3
getRootElementProcessed,0
endElement,2
notationDecl,3
checkAndSendUnparsedEntity,0
getIncludeParentDepth,0
scopeOfBaseURI,0
elementDecl,3
setDocumentHandler,0
isRootDocument,0
startParameterEntity,3
escapeHref,0
processAttributes,0
getDocumentHandler,0
endCDATA,1
setHref,0
addUnparsedEntity,3
endParameterEntity,3
searchForRecursiveIncludes,0
isValidInHTTPHeader,0
startDTD,3
restoreLanguage,0
setFeature,0
reportResourceError,0
setupCurrentBaseURI,0
getPropertyDefault,0
ignoredCharacters,3
reportFatalError,0
xmlDecl,0
endAttlist,3
externalEntityDecl,3
getIncludeParentLanguage,0
reset,5
handleIncludeElement,4
processingInstruction,1
startConditional,3
endDocument,0
hasXIncludeNamespace,0
copyFeatures1,0
isTopLevelIncludedItem,0
checkUnparsedEntity,0
restoreBaseURI,0
setXIncludeLocator,0
addNotation,3
textDecl,1
isFallbackElement,0
emptyElement,2
doctypeDecl,0
comment,1
ignorableWhitespace,1
getRecognizedFeatures,0
attributeDecl,3
getIncludeParentBaseURI,0
checkMultipleRootElements,0
unparsedEntityDecl,3
getFeatureDefault,0
endExternalSubset,3
setParent,0
getDTDHandler,3
checkWhitespace,0
createInputSource,0
characters,1
setSawInclude,0
getSawInclude,0
startElement,2
setDocumentSource,0
setProperty,0
handleFallbackElement,2
getDTDSource,0
startExternalSubset,3
getLanguage,0
setSawFallback,0
startAttlist,3
scopeOfLanguage,0
checkNotation,0
setState,0
isTopLevelIncludedItemViaInclude,0
getRecognizedProperties,0
getBaseURI,0
isIncludeElement,0
getSawFallback,0
getRelativeURI,0
endConditional,3
startCDATA,1
getDocumentSource,0
saveBaseURI,0
setErrorReporter,0
setRootElementProcessed,0
modifyAugmentations,0
internalEntityDecl,3
endGeneralEntity,1
isTopLevelIncludedItemViaFallback,0
checkAndSendNotation,0
startGeneralEntity,1
copyFeatures,0
getRelativeBaseURI,0
saveLanguage,0
