Method_Name,labels
samebaseuriasincludeparent,2
reporterror,0
scopeofbaseuri,2
startparameterentity,1
endparameterentity,1
reportresourceerror,0
setupcurrentbaseuri,2
reportfatalerror,0
restorebaseuri,2
getincludeparentbaseuri,2
endexternalsubset,4
createinputsource,3
startexternalsubset,4
getbaseuri,2
getrelativeuri,2
savebaseuri,2
seterrorreporter,0
getrelativebaseuri,2
setdtdsource,5
startdocument,5
samelanguageasincludeparent,5
processxmllangattributes,5
getresultdepth,5
enddtd,5
processxmlbaseattributes,5
getstate,5
isequal,5
setdtdhandler,5
getrootelementprocessed,5
endelement,5
notationdecl,5
checkandsendunparsedentity,5
getincludeparentdepth,5
elementdecl,5
setdocumenthandler,5
isrootdocument,5
escapehref,5
processattributes,5
getdocumenthandler,5
endcdata,5
sethref,5
addunparsedentity,5
searchforrecursiveincludes,5
isvalidinhttpheader,5
startdtd,5
restorelanguage,5
setfeature,5
getpropertydefault,5
ignoredcharacters,5
xmldecl,5
endattlist,5
externalentitydecl,5
getincludeparentlanguage,5
reset,5
handleincludeelement,5
processinginstruction,5
startconditional,5
enddocument,5
hasxincludenamespace,5
copyfeatures1,5
istoplevelincludeditem,5
checkunparsedentity,5
setxincludelocator,5
addnotation,5
textdecl,5
isfallbackelement,5
emptyelement,5
doctypedecl,5
comment,5
ignorablewhitespace,5
getrecognizedfeatures,5
attributedecl,5
checkmultiplerootelements,5
unparsedentitydecl,5
getfeaturedefault,5
setparent,5
getdtdhandler,5
checkwhitespace,5
characters,5
setsawinclude,5
getsawinclude,5
startelement,5
setdocumentsource,5
setproperty,5
handlefallbackelement,5
getdtdsource,5
getlanguage,5
setsawfallback,5
startattlist,5
scopeoflanguage,5
checknotation,5
setstate,5
istoplevelincludeditemviainclude,5
getrecognizedproperties,5
isincludeelement,5
getsawfallback,5
endconditional,5
startcdata,5
getdocumentsource,5
setrootelementprocessed,5
modifyaugmentations,5
internalentitydecl,5
endgeneralentity,5
istoplevelincludeditemviafallback,5
checkandsendnotation,5
startgeneralentity,5
copyfeatures,5
savelanguage,5
