Method_Name,labels
traverseSchemas,4
getSchemaDocument1,4
findDependentNamespaces,4
getGlobalDecl,2
getGlobalTypeDecl,4
prepareForParse,4
parseSchema,0
setSchemasVisible,4
addGlobalElementDecl,4
needReportTNSError,4
addGlobalGroupDecls,4
getGlobalNotationDecl,4
setDVFactory,4
renameRedefiningComponents,4
expandRelatedSimpleTypeComponents,4
addGlobalTypeDecl,4
nonAnnotationContent,4
canAddComponents,4
changeRedefineGroup,4
addGlobalAttributeGroupDecls,4
updateImportDependencies,4
updateImportListFor,4
updateImportListWith,4
resolveKeyRefs,1
getIDRegistry_sub,4
addGlobalAttributeDecl,4
addGlobalAttributeDecls,4
null2EmptyString,4
traverseLocalElements,1
addGrammarComponents,4
containedImportedGrammar,4
getGlobalAttributeDecl,4
canAddComponent,2
addNewGrammarLocations,4
expandImportList,4
getSchemaGrammar,4
expandGrammars,4
prepareForTraverse,1
expandRelatedComponents,4
getGrpOrAttrGrpRedefinedByRestriction,4
addGlobalComponent,2
findQName,4
addIDConstraintDecl,4
addRelatedElement,4
getGlobalDeclFromGrammar,2
isExistingGrammar,4
addGlobalGroupDecl,4
setGenerateSyntheticAnnotations,4
getIDRegistry,4
addGlobalNotationDecl,4
createAnnotationValidator,4
expandRelatedModelGroupDefinitionComponents,4
expandRelatedModelGroupComponents,4
traverseGlobalDecl,4
expandRelatedAttributeGroupComponents,4
expandRelatedAttributeUseComponents,4
element2Locator,4
getGrammar,4
getIDConstraintDecl,4
emptyString2Null,4
expandRelatedTypeComponents,4
expandRelatedComplexTypeComponents,4
reportSharingError,4
findXSDocumentForDecl,4
constructTrees,0
updateImportList,4
setDeclPool,4
findGrammar,4
addGlobalAttributeGroupDecl,4
addImportList,4
createGrammarFrom,4
checkForDuplicateNames,4
getGlobalAttributeGroupDecl,4
addGlobalElementDecls,4
getGlobalGroupDecl,4
expandRelatedParticleComponents,4
getGlobalElementDecl,4
buildGlobalNameRegistries,3
expandRelatedAttributeUsesComponents,4
resolveSchemaSource,4
reportSchemaError,4
resolveSchema,4
reset,5
getSchemaDocument,0
expandRelatedAttributeComponents,4
addNamespaceDependency,4
expandRelatedElementComponents,4
addNewGrammarComponents,4
createTraversers,4
addGlobalComponents,4
addNewImportedGrammars,4
addGlobalTypeDecls,4
storeKeyRef,1
addGrammars,4
expandComponents,4
addRelatedAttribute,4
fillInLocalElemInfo,1
doc2SystemId,4
existingGrammars,4
schemaDocument2SystemId,4
validateAnnotations,4
getSchemaDocument0,4
addRelatedType,4
addGlobalNotationDecls,4
removeParticle,4
reportSchemaWarning,4
