Method_Name,labels
traverseSchemas,0
getSchemaDocument1,0
findDependentNamespaces,0
getGlobalDecl,5
getGlobalTypeDecl,0
prepareForParse,0
parseSchema,0
setSchemasVisible,0
addGlobalElementDecl,0
needReportTNSError,0
addGlobalGroupDecls,0
getGlobalNotationDecl,0
setDVFactory,0
renameRedefiningComponents,0
expandRelatedSimpleTypeComponents,0
addGlobalTypeDecl,0
nonAnnotationContent,0
canAddComponents,0
changeRedefineGroup,0
addGlobalAttributeGroupDecls,0
updateImportDependencies,0
updateImportListFor,0
updateImportListWith,0
resolveKeyRefs,0
getIDRegistry_sub,0
addGlobalAttributeDecl,0
addGlobalAttributeDecls,0
null2EmptyString,0
traverseLocalElements,0
addGrammarComponents,0
containedImportedGrammar,0
getGlobalAttributeDecl,0
canAddComponent,0
addNewGrammarLocations,0
expandImportList,0
getSchemaGrammar,0
expandGrammars,0
prepareForTraverse,3
expandRelatedComponents,0
getGrpOrAttrGrpRedefinedByRestriction,0
addGlobalComponent,0
findQName,0
addIDConstraintDecl,0
addRelatedElement,0
getGlobalDeclFromGrammar,0
isExistingGrammar,0
addGlobalGroupDecl,0
setGenerateSyntheticAnnotations,0
getIDRegistry,0
addGlobalNotationDecl,0
createAnnotationValidator,0
expandRelatedModelGroupDefinitionComponents,0
expandRelatedModelGroupComponents,0
traverseGlobalDecl,0
expandRelatedAttributeGroupComponents,0
expandRelatedAttributeUseComponents,0
element2Locator,0
getGrammar,0
getIDConstraintDecl,0
emptyString2Null,0
expandRelatedTypeComponents,0
expandRelatedComplexTypeComponents,0
reportSharingError,0
findXSDocumentForDecl,0
constructTrees,4
updateImportList,0
setDeclPool,0
findGrammar,0
addGlobalAttributeGroupDecl,0
addImportList,0
createGrammarFrom,0
checkForDuplicateNames,0
getGlobalAttributeGroupDecl,0
addGlobalElementDecls,0
getGlobalGroupDecl,0
expandRelatedParticleComponents,0
getGlobalElementDecl,0
buildGlobalNameRegistries,2
expandRelatedAttributeUsesComponents,0
resolveSchemaSource,0
reportSchemaError,0
resolveSchema,0
reset,1
getSchemaDocument,0
expandRelatedAttributeComponents,0
addNamespaceDependency,0
expandRelatedElementComponents,0
addNewGrammarComponents,0
createTraversers,0
addGlobalComponents,0
addNewImportedGrammars,0
addGlobalTypeDecls,0
storeKeyRef,0
addGrammars,0
expandComponents,0
addRelatedAttribute,0
fillInLocalElemInfo,0
doc2SystemId,0
existingGrammars,0
schemaDocument2SystemId,0
validateAnnotations,0
getSchemaDocument0,0
addRelatedType,0
addGlobalNotationDecls,0
removeParticle,0
reportSchemaWarning,0
