Method_Name,labels
getglobaldecl,1
getglobaltypedecl,1
addglobalelementdecl,1
needreporttnserror,4
addglobalgroupdecls,1
getglobalnotationdecl,1
renameredefiningcomponents,5
expandrelatedsimpletypecomponents,5
addglobaltypedecl,1
nonannotationcontent,0
canaddcomponents,5
addglobalattributegroupdecls,1
addglobalattributedecl,1
addglobalattributedecls,1
addgrammarcomponents,5
getglobalattributedecl,1
canaddcomponent,5
expandrelatedcomponents,5
addglobalcomponent,1
getglobaldeclfromgrammar,1
addglobalgroupdecl,1
addglobalnotationdecl,1
createannotationvalidator,2
expandrelatedmodelgroupdefinitioncomponents,5
expandrelatedmodelgroupcomponents,5
traverseglobaldecl,1
expandrelatedattributegroupcomponents,5
expandrelatedattributeusecomponents,5
expandrelatedtypecomponents,5
expandrelatedcomplextypecomponents,5
reportsharingerror,4
addglobalattributegroupdecl,1
creategrammarfrom,2
getglobalattributegroupdecl,1
addglobalelementdecls,1
getglobalgroupdecl,1
expandrelatedparticlecomponents,5
getglobalelementdecl,1
buildglobalnameregistries,1
expandrelatedattributeusescomponents,5
reportschemaerror,4
expandrelatedattributecomponents,5
expandrelatedelementcomponents,5
addnewgrammarcomponents,5
createtraversers,2
addglobalcomponents,1
addglobaltypedecls,1
expandcomponents,5
addglobalnotationdecls,1
traverseschemas,3
getschemadocument1,3
finddependentnamespaces,3
prepareforparse,3
parseschema,3
setschemasvisible,3
setdvfactory,3
changeredefinegroup,3
updateimportdependencies,3
updateimportlistfor,3
updateimportlistwith,3
resolvekeyrefs,3
getidregistry_sub,3
null2emptystring,3
traverselocalelements,3
containedimportedgrammar,3
addnewgrammarlocations,3
expandimportlist,3
getschemagrammar,3
expandgrammars,3
preparefortraverse,3
getgrporattrgrpredefinedbyrestriction,3
findqname,3
addidconstraintdecl,3
addrelatedelement,3
isexistinggrammar,3
setgeneratesyntheticannotations,3
getidregistry,3
element2locator,3
getgrammar,3
getidconstraintdecl,3
emptystring2null,3
findxsdocumentfordecl,3
constructtrees,3
updateimportlist,3
setdeclpool,3
findgrammar,3
addimportlist,3
checkforduplicatenames,3
resolveschemasource,3
resolveschema,3
reset,3
getschemadocument,3
addnamespacedependency,3
addnewimportedgrammars,3
storekeyref,3
addgrammars,3
addrelatedattribute,3
fillinlocaleleminfo,3
doc2systemid,3
existinggrammars,3
schemadocument2systemid,3
validateannotations,3
getschemadocument0,3
addrelatedtype,3
removeparticle,3
reportschemawarning,3
